fecha,valor
2000-05-01T00:00:00-06:00,304.42000000
2000-05-02T00:00:00-06:00,304.42000000
2000-05-03T00:00:00-06:00,304.45000000
2000-05-04T00:00:00-06:00,304.59000000
2000-05-05T00:00:00-06:00,304.69000000
2000-05-06T00:00:00-06:00,304.80000000
2000-05-07T00:00:00-06:00,304.80000000
2000-05-08T00:00:00-06:00,304.80000000
2000-05-09T00:00:00-06:00,304.77000000
2000-05-10T00:00:00-06:00,304.88000000
2000-05-11T00:00:00-06:00,304.99000000
2000-05-12T00:00:00-06:00,305.20000000
2000-05-13T00:00:00-06:00,305.18000000
2000-05-14T00:00:00-06:00,305.18000000
2000-05-15T00:00:00-06:00,305.18000000
2000-05-16T00:00:00-06:00,305.28000000
2000-05-17T00:00:00-06:00,305.31000000
2000-05-18T00:00:00-06:00,305.38000000
2000-05-19T00:00:00-06:00,305.48000000
2000-05-20T00:00:00-06:00,305.53000000
2000-05-21T00:00:00-06:00,305.53000000
2000-05-22T00:00:00-06:00,305.53000000
2000-05-23T00:00:00-06:00,305.64000000
2000-05-24T00:00:00-06:00,305.70000000
2000-05-25T00:00:00-06:00,305.74000000
2000-05-26T00:00:00-06:00,305.88000000
2000-05-27T00:00:00-06:00,305.95000000
2000-05-28T00:00:00-06:00,305.95000000
2000-05-29T00:00:00-06:00,305.95000000
2000-05-30T00:00:00-06:00,306.03000000
2000-05-31T00:00:00-06:00,306.08000000
2000-06-01T00:00:00-06:00,306.17000000
2000-06-02T00:00:00-06:00,306.30000000
2000-06-03T00:00:00-06:00,306.31000000
2000-06-04T00:00:00-06:00,306.31000000
2000-06-05T00:00:00-06:00,306.31000000
2000-06-06T00:00:00-06:00,306.43000000
2000-06-07T00:00:00-06:00,306.50000000
2000-06-08T00:00:00-06:00,306.61000000
2000-06-09T00:00:00-06:00,306.72000000
2000-06-10T00:00:00-06:00,306.95000000
2000-06-11T00:00:00-06:00,306.95000000
2000-06-12T00:00:00-06:00,306.95000000
2000-06-13T00:00:00-06:00,306.82000000
2000-06-14T00:00:00-06:00,306.89000000
2000-06-15T00:00:00-06:00,307.01000000
2000-06-16T00:00:00-06:00,307.11000000
2000-06-17T00:00:00-06:00,307.10000000
2000-06-18T00:00:00-06:00,307.10000000
2000-06-19T00:00:00-06:00,307.10000000
